Corrida con 
individuos : 40
cr : 0.9
f = 0.3
1: Viorest: 0.0019493, aptitud: 1000, vector: 0.480831    0.0517471     0.478882     0.359539     -43.6813
85: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
86: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
87: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
88: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
89: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
90: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
91: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
92: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
93: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
94: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
95: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
96: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
97: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
98: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
99: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
100: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
101: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
102: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
103: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
104: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
105: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
106: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
107: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
108: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
109: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
110: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
111: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
112: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
113: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
114: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
115: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
116: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
117: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
118: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
119: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
120: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
121: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
122: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
123: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
124: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
125: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
126: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
127: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
128: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
129: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
130: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
131: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
132: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
133: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
134: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
135: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
136: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
137: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
138: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
139: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
140: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
141: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
142: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
143: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
144: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
145: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
146: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
147: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
148: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
149: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
150: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
151: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
152: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
153: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
154: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
155: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
156: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
157: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
158: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
159: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
160: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
161: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
162: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
163: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
164: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
165: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
166: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
167: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
168: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
169: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
170: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
171: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
172: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
173: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
174: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
175: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
176: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
177: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
178: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
179: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
180: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
181: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
182: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
183: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
184: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
185: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
186: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
187: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
188: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
189: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
190: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
191: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
192: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
193: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
194: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
195: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
196: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
197: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
198: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
199: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
200: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
201: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
202: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
203: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
204: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
205: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
206: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
207: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
208: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
209: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
210: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
211: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
212: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
213: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
214: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
215: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
216: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
217: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
218: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
219: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
220: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
221: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
222: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
223: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
224: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
225: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
226: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
227: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
228: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
229: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
230: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
231: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
232: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
233: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
234: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
235: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
236: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
237: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
238: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
239: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
240: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
241: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
242: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
243: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
244: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
245: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
246: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
247: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
248: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
249: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
250: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
251: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
252: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
253: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
254: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
255: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
256: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
257: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
258: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
259: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
260: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
261: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
262: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
263: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
264: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
265: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
266: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
267: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
268: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
269: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
